VCD info: dumpfile report/waveform.vcd opened for output.
#          4 (u0:1000110 -> u1-v:1000110(1)) test passed
#          5 (u0:0010000 -> u1-v:0010000(0)) test failed (noise detected)
#          6 (u0:1110000 -> u1-v:1111000(0)) test failed (noise detected)
#          7 (u0:1001111 -> u1-v:1111000(0)) test failed (noise detected)
#          8 (u0:1000110 -> u1-v:1000110(1)) test passed
#          9 (u0:0100101 -> u1-v:0100101(0)) test failed (noise detected)
test connection with noise uart1 -> uart0
#          0 (u1:0000111 -> u0-v:0000011(0)) test failed (noise detected)
#          1 (u1:1100010 -> u0-v:0100010(0)) test failed (noise detected)
#          2 (u1:1011010 -> u0-v:1011010(1)) test passed
#          3 (u1:1010001 -> u0-v:1010001(1)) test passed
#          4 (u1:1101101 -> u0-v:1101001(0)) test failed (noise detected)
#          5 (u1:0100100 -> u0-v:1100100(0)) test failed (noise detected)
#          6 (u1:0110001 -> u0-v:0110001(1)) test passed
#          7 (u1:0000001 -> u0-v:0000001(1)) test passed
#          8 (u1:1111001 -> u0-v:1111101(0)) test failed (noise detected)
#          9 (u1:0011101 -> u0-v:1011101(0)) test failed (noise detected)
